a,b,c,d
2.42475009,2.528612614,2.394000053,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.405750275,0
2.42475009,2.528612614,2.392250061,0
2.42475009,2.528612614,2.392250061,0
2.42475009,2.528612614,2.392250061,0
2.42475009,2.528612614,2.392250061,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.392000198,0
2.42475009,2.528612614,2.392000198,0
2.42475009,2.528612614,2.392000198,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.404750109,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.403750181,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.405250072,0
2.42475009,2.528612614,2.393750191,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.394500256,0
2.42475009,2.528612614,2.40500021,0
2.42475009,2.528612614,2.405500174,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
